884	2BIO2	4647
886	2BIO2	2012
893	PSI*	1065
894	2BIO3	1259
908	MP*1	1174
909	PSI*	175
917	PSI*	306
920	PSI*	528
921	PSI*	221
923	PC*	276
927	2BIO1	2095
938	PC*	1203
939	2BIO3	1231
941	PC*	316
945	2BIO1	1211
954	2BIO1	673
958	MP*1	866
959	PSI*	221
960	PSI*	232
970	2BIO1	963
974	MP*1	841
977	PSI*	382
979	2BIO2	274
984	2BIO1	785
991	2BIO1	961
998	PC	984
1067	MP*2	1541
1201	MP*2	2004
1204	MP*2	1954
1212	MP*2	2566
1214	MP*2	1828
1216	MP*2	812
1218	MP*2	1231
1228	MP*2	1334
1232	MP*2	662
1237	MP*2	848
1238	MP*2	1823
1260	MP*2	1382
1295	MP*2	1620
1320	MP*2	519
1324	MP*2	2133
1332	MP*2	2340
1336	MP*2	634
1339	MP*2	1647
1342	MP*2	2724
1345	MP*2	1149
1359	MP*2	4338
1366	MP*2	95
1383	MP*2	711
1401	MP*2	2095
1412	MP*2	1509
1423	MP*2	1477
1485	MP*2	398
1512	MP*2	3379
1518	MP*2	2763
1519	MP*2	233
1543	MP*2	1732
1594	MP*2	2368
1784	MP*2	858
1805	MP*2	917
1819	MP*2	404
1828	MP*2	1796
1870	MP*2	183
1894	MP*2	385
